GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Finalproject-LyDH,es.ull,Grid.new MouseAdapter() {...},66,6,24,0,11,1,15,1,3,1
Finalproject-LyDH,es.ull,Grid.new MouseAdapter() {...},54,6,24,0,9,1,15,1,3,1
Finalproject-LyDH,es.ull,Menu,355,0,11,0,74,0,20,0,13,0
Finalproject-LyDH,es.ull,Main,8,0,0,0,3,0,2,0,2,0
Finalproject-LyDH,es.ull,Player,0,15,0,0,0,6,0,3,0,3
Finalproject-LyDH,es.ull,ColorScheme,198,259,6,4,22,39,6,6,1,6
Finalproject-LyDH,es.ull,Menu.new MouseAdapter() {...},55,0,0,0,7,0,3,0,3,0
Finalproject-LyDH,es.ull,Window,0,100,0,0,0,25,0,4,0,4
Finalproject-LyDH,es.ull,Board,653,111,81,7,127,30,68,10,26,8
Finalproject-LyDH,es.ull,Tile,14,76,3,5,1,23,4,12,1,11
Finalproject-LyDH,es.ull,Grid,168,317,21,11,29,72,16,12,2,10
Finalproject-LyDH,es.ull,Leaderboard,108,100,5,5,24,26,7,7,4,5
Finalproject-LyDH,es.ull,Controls,31,7,6,0,19,3,9,2,4,2
Finalproject-LyDH,es.ull,Game,0,22,0,0,0,5,0,2,0,2
Finalproject-LyDH,es.ull,RoundButton,41,54,2,0,6,13,2,2,1,2
